A-_---------n	ADJU
V-_-papaog--i	VPR$-AOR
V-_-papmfg--i	VPRP$-AOR
V-_-papmfn--i	VPRP-AOR
V-_-papmma--i	VPRPA-AOR
V-_-papmmd--i	VPRPD-AOR
V-_-papmmn--i	VPRP-AOR
V-_-papmna--i	VPRPA-AOR
V-_-papmnd--i	VPRPD-AOR
V-_-pappfg--i	VPRP$-AOR
V-_-pappfn--i	VPRP-AOR
V-_-pappma--i	VPRPA-AOR
V-_-pappmg--i	VPRP$-AOR
V-_-pappmn--i	VPRP-AOR
V-_-pappna--i	VPRPA-AOR
V-_-pappng--i	VPRP$-AOR
V-_-pfpamn--i	VPR-FUT
V-_-pppafa--i	VPRA-IMPF
V-_-pppafd--i	VPRD-IMPF
V-_-pppafg--i	VPR$-IMPF
V-_-pppafn--i	VPR-IMPF
V-_-pppama--i	VPRA-IMPF
V-_-pppamd--i	VPRD-IMPF
V-_-pppamg--i	VPR$-IMPF
V-_-pppamn--i	VPR-IMPF
V-_-pppana--i	VPRA-IMPF
V-_-pppand--i	VPRD-IMPF
V-_-pppang--i	VPR$-IMPF
V-_-pppann--i	VPR-IMPF
V-_-pppaod--i	VPRD-IMPF
V-_-pppaog--i	VPR$-IMPF
V-_-pppaqg--i	VPR$-IMPF
V-_-pppmfa--i	VPRPA-IMPF
V-_-pppmfd--i	VPRPD-IMPF
V-_-pppmfg--i	VPRP$-IMPF
V-_-pppmfn--i	VPRP-IMPF
V-_-pppmma--i	VPRPA-IMPF
V-_-pppmmd--i	VPRPD-IMPF
V-_-pppmmg--i	VPRP$-IMPF
V-_-pppmmn--i	VPRP-IMPF
V-_-pppmna--i	VPRPA-IMPF
V-_-pppmnd--i	VPRPD-IMPF
V-_-pppmng--i	VPRP$-IMPF
V-_-pppmnn--i	VPRP-IMPF
V-_-pppmod--i	VPRPD-IMPF
V-_-pppmqg--i	VPRP$-IMPF
V-_-ppppfa--i	VPRPA-IMPF
V-_-ppppma--i	VPRPA-IMPF
V-_-ppppmd--i	VPRPD-IMPF
V-_-ppppmg--i	VPRP$-IMPF
V-_-ppppmn--i	VPRP-IMPF
V-_-ppppna--i	VPRPA-IMPF
V-_-ppppnd--i	VPRPD-IMPF
V-_-ppppnn--i	VPRP-IMPF
V-_-prpafn--i	VPR-PRF
V-_-prpama--i	VPRA-PRF
V-_-prpamd--i	VPRD-PRF
V-_-prpamg--i	VPR$-PRF
V-_-prpamn--i	VPR-PRF
V-_-prpana--i	VPRA-PRF
V-_-prpang--i	VPR$-PRF
V-_-prpann--i	VPR-PRF
V-_-prpaqg--i	VPR$-PRF
V-_-prpmma--i	VPRPA-PRF
V-_-prpmmn--i	VPRP-PRF
V-_-prppfa--i	VPRPA-PRF
V-_-prppfg--i	VPRP$-PRF
V-_-prppfn--i	VPRP-PRF
V-_-prppma--i	VPRPA-PRF
V-_-prppmd--i	VPRPD-PRF
V-_-prppmg--i	VPRP$-PRF
V-_-prppmn--i	VPRP-PRF
V-_-prppmv--i	VPRP-PRF
V-_-prppna--i	VPRPA-PRF
V-_-prppnd--i	VPRPD-PRF
V-_-prppng--i	VPRP$-PRF
V-_-prppnn--i	VPRP-PRF
V-_-prppqg--i	VPRP$-PRF
V-_-sapafa--i	VPRA-AOR
V-_-sapafd--i	VPRD-AOR
V-_-sapafg--i	VPR$-AOR
V-_-sapafn--i	VPR-AOR
V-_-sapama--i	VPRA-AOR
V-_-sapamd--i	VPRD-AOR
V-_-sapamg--i	VPR$-AOR
V-_-sapamn--i	VPR-AOR
V-_-sapana--i	VPRA-AOR
V-_-sapang--i	VPR$-AOR
V-_-sapann--i	VPR-AOR
V-_-sapaod--i	VPRD-AOR
V-_-sapaog--i	VPR$-AOR
V-_-sapemn--i	VPRP-AOR
V-_-sapmfa--i	VPRPA-AOR
V-_-sapmfg--i	VPRP$-AOR
V-_-sapmma--i	VPRPA-AOR
V-_-sapmmg--i	VPRP$-AOR
V-_-sapmmn--i	VPRP-AOR
V-_-sapmna--i	VPRPA-AOR
V-_-sapmng--i	VPRP$-AOR
V-_-sapmoa--i	VPRPA-AOR
V-_-sapmog--i	VPRP$-AOR
V-_-sappfa--i	VPRPA-AOR
V-_-sappfd--i	VPRPD-AOR
V-_-sappfg--i	VPRP$-AOR
V-_-sappfn--i	VPRP-AOR
V-_-sappma--i	VPRPA-AOR
V-_-sappmd--i	VPRPD-AOR
V-_-sappmg--i	VPRP$-AOR
V-_-sappmn--i	VPRP-AOR
V-_-sappna--i	VPRPA-AOR
V-_-sappng--i	VPRP$-AOR
V-_-sappnn--i	VPRP-AOR
V-_-sappog--i	VPRP$-AOR
V-_-sappqg--i	VPRP$-AOR
V-_-sfpamn--i	VPR-FUT
V-_-sfpmna--i	VPRPA-FUT
V-_-sppafa--i	VPRA-IMPF
V-_-sppafd--i	VPRD-IMPF
V-_-sppafg--i	VPR$-IMPF
V-_-sppafn--i	VPR-IMPF
V-_-sppama--i	VPRA-IMPF
V-_-sppamd--i	VPRD-IMPF
V-_-sppamg--i	VPR$-IMPF
V-_-sppamn--i	VPR-IMPF
V-_-sppamv--i	VPR-IMPF
V-_-sppana--i	VPRA-IMPF
V-_-sppand--i	VPRD-IMPF
V-_-sppang--i	VPR$-IMPF
V-_-sppann--i	VPR-IMPF
V-_-sppaod--i	VPRD-IMPF
V-_-sppaog--i	VPR$-IMPF
V-_-sppmfa--i	VPRPA-IMPF
V-_-sppmfg--i	VPRP$-IMPF
V-_-sppmfn--i	VPRP-IMPF
V-_-sppmma--i	VPRPA-IMPF
V-_-sppmmd--i	VPRPD-IMPF
V-_-sppmmg--i	VPRP$-IMPF
V-_-sppmmn--i	VPRP-IMPF
V-_-sppmna--i	VPRPA-IMPF
V-_-sppmnd--i	VPRPD-IMPF
V-_-sppmng--i	VPRP$-IMPF
V-_-sppmnn--i	VPRP-IMPF
V-_-sppmoa--i	VPRPA-IMPF
V-_-sppmog--i	VPRP$-IMPF
V-_-spppfa--i	VPRPA-IMPF
V-_-spppfd--i	VPRPD-IMPF
V-_-spppfg--i	VPRP$-IMPF
V-_-spppfn--i	VPRP-IMPF
V-_-spppma--i	VPRPA-IMPF
V-_-spppmd--i	VPRPD-IMPF
V-_-spppmg--i	VPRP$-IMPF
V-_-spppmn--i	VPRP-IMPF
V-_-spppna--i	VPRPA-IMPF
V-_-spppnd--i	VPRPD-IMPF
V-_-spppng--i	VPRP$-IMPF
V-_-spppnn--i	VPRP-IMPF
V-_-spppoa--i	VPRPA-IMPF
V-_-spppog--i	VPRP$-IMPF
V-_-srpafa--i	VPRA-PRF
V-_-srpafn--i	VPR-PRF
V-_-srpama--i	VPRA-PRF
V-_-srpamd--i	VPRD-PRF
V-_-srpamg--i	VPR$-PRF
V-_-srpamn--i	VPR-PRF
V-_-srpana--i	VPRA-PRF
V-_-srpang--i	VPR$-PRF
V-_-srpann--i	VPR-PRF
V-_-srpaog--i	VPR$-PRF
V-_-srpmfa--i	VPRPA-PRF
V-_-srpmma--i	VPRPA-PRF
V-_-srppfa--i	VPRPA-PRF
V-_-srppfd--i	VPRPD-PRF
V-_-srppfg--i	VPRP$-PRF
V-_-srppfn--i	VPRP-PRF
V-_-srppma--i	VPRPA-PRF
V-_-srppmd--i	VPRPD-PRF
V-_-srppmg--i	VPRP$-PRF
V-_-srppmn--i	VPRP-PRF
V-_-srppmv--i	VPRP-PRF
V-_-srppna--i	VPRPA-PRF
V-_-srppnn--i	VPRP-PRF
V-_-srppoa--i	VPRPA-PRF
V-_-srppod--i	VPRPD-PRF
V-_-srppog--i	VPRP$-PRF
V-_1paia----i	VBD-AOR
V-_1paim----i	VBDP-AOR
V-_1paip----i	VBDP-AOR
V-_1pasa----i	VBS-AOR
V-_1pasm----i	VBSP-AOR
V-_1pasp----i	VBSP-AOR
V-_1pfia----i	VBP-FUT
V-_1pfim----i	VBPP-FUT
V-_1pfip----i	VBPP-FUT
V-_1piia----i	VBD-IMPF
V-_1piim----i	VBDP-IMPF
V-_1piip----i	VBDP-IMPF
V-_1ppia----i	VBP-IMPF
V-_1ppim----i	VBPP-IMPF
V-_1ppip----i	VBPP-IMPF
V-_1ppsa----i	VBS-IMPF
V-_1ppsm----i	VBSP-IMPF
V-_1pria----i	VBP-PRF
V-_1prip----i	VBPP-PRF
V-_1prsa----i	VBS-PRF
V-_1saia----i	VBD-AOR
V-_1saim----i	VBDP-AOR
V-_1saip----i	VBDP-AOR
V-_1saom----i	VBOP-AOR
V-_1sasa----i	VBS-AOR
V-_1sasm----i	VBSP-AOR
V-_1sasp----i	VBSP-AOR
V-_1sfia----i	VBP-FUT
V-_1sfim----i	VBPP-FUT
V-_1sfip----i	VBPP-FUT
V-_1sfsa----i	VBS-FUT
V-_1siia----i	VBD-IMPF
V-_1siim----i	VBDP-IMPF
V-_1siip----i	VBDP-IMPF
V-_1slia----i	VBD-PRF
V-_1spia----i	VBP-IMPF
V-_1spim----i	VBPP-IMPF
V-_1spip----i	VBPP-IMPF
V-_1spsa----i	VBS-IMPF
V-_1spsm----i	VBSP-IMPF
V-_1spsp----i	VBSP-IMPF
V-_1sria----i	VBP-PRF
V-_1srim----i	VBPP-PRF
V-_1srip----i	VBPP-PRF
V-_1srsa----i	VBS-PRF
V-_2paia----i	VBD-AOR
V-_2paim----i	VBDP-AOR
V-_2paip----i	VBDP-AOR
V-_2pama----i	VBI-AOR
V-_2pamm----i	VBIP-AOR
V-_2pamp----i	VBIP-AOR
V-_2pasa----i	VBS-AOR
V-_2pasm----i	VBSP-AOR
V-_2pasp----i	VBSP-AOR
V-_2pfia----i	VBP-FUT
V-_2pfim----i	VBPP-FUT
V-_2pfip----i	VBPP-FUT
V-_2piia----i	VBD-IMPF
V-_2piim----i	VBDP-IMPF
V-_2piip----i	VBDP-IMPF
V-_2plia----i	VBD-PRF
V-_2ppia----i	VBP-IMPF
V-_2ppim----i	VBPP-IMPF
V-_2ppip----i	VBPP-IMPF
V-_2ppma----i	VBI-IMPF
V-_2ppmm----i	VBIP-IMPF
V-_2ppmp----i	VBIP-IMPF
V-_2ppsa----i	VBS-IMPF
V-_2ppsm----i	VBSP-IMPF
V-_2ppsp----i	VBSP-IMPF
V-_2pria----i	VBP-PRF
V-_2prip----i	VBPP-PRF
V-_2prma----i	VBI-PRF
V-_2prsa----i	VBS-PRF
V-_2saia----i	VBD-AOR
V-_2saim----i	VBDP-AOR
V-_2saip----i	VBDP-AOR
V-_2sama----i	VBI-AOR
V-_2samm----i	VBIP-AOR
V-_2samp----i	VBIP-AOR
V-_2sasa----i	VBS-AOR
V-_2sasm----i	VBSP-AOR
V-_2sasp----i	VBSP-AOR
V-_2sfia----i	VBP-FUT
V-_2sfim----i	VBPP-FUT
V-_2sfip----i	VBPP-FUT
V-_2siia----i	VBD-IMPF
V-_2siim----i	VBDP-IMPF
